Date,Day,Week,Month,Sky,High Temperature (F),Low Temperature (F),Wake Up City,Wake Up State,Wake Up Country,Sleep City,Sleep State,Sleep Country,Cities Visited,States Visited,Countries Visited,Wake Up Time,Bedtime,Hours slept,Naps taken,Morning Phone Battery (%),Morning Mood,Night Mood,Sick?,Shirt Type,Shirt Color Primary,Shirt Color Secondary,Shirt Company,Shirt Design,Shirt Color Short,Pants Type,Pants Color Primary,Pants Color Secondary,Pants Brand,Pants Design,Pants Color Short,Shoe Type,Shoe Color Primary,Shoe Color Secondary,Shoe Brand,Shoe Design,Shoe Color Short,Underwear Color Primary,Underwear Color Secondary,Underwear Type,Underwear Color Short,Sock Color Primary,Sock Color Secondary,Sock Company,Sock Design,Sock Color Short,Contacts/Glasses?,Glasses Color,Hat?,Hat Color Primary,Hat Color Secondary,Hat Type,Hat Company,Hat Design,Hat Color Short,Undershirt?,Undershirt Color,Undershirt Color Secondary,Undershirt Company,Undershirt Design,Undershirt Color Short,Jacket?,Jacket Color,Jacket Color Secondary,Jacket Type,Jacket Company,Jacket Design,Jacket Color Short,Clothes Layers,Breakfast,Lunch,Dinner,Dessert,Snacks Eaten,Cooked Breakfast?,Cooked Lunch?,Lunch Leftovers?,Cooked Dinner?,Dinner Leftovers?,Cooked Dessert?,Restaurant Breakfast,Restaurant Lunch,Restaurant Dinner,Restaurant Dessert,Breakfast Rating,Lunch Rating,Dinner Rating,Dessert Rating,Fruit Eaten,Vegetables Eaten,Meat Eaten,Breakfast Notes,Lunch Notes,Dinner Notes,Dessert Notes,Streaming Service Breakfast,Streaming Service Lunch,Streaming Service Dinner,Show Watched During Breakfast,Show Watched During Lunch,Show Watched During Dinner,Times watched TV,Went to grocery store?,Went Outside?,Outside Feel,Gym?,Cardio?,Cardio Duration (minutes),Lifting?,Lifting Duration (minutes),Sports Played,Public Transportation Used,In Car?,Drove?,Uber/Lyft?,People seen in person,People seen virtually,People I called,People called me,Things I worked on,Coding Languages Used,Brushed Teeth?,Flossed?,Times pooped,Times peed,Zoom?,Video games played,Alcohol?,# of Drinks,Drink Type
2024-03-16,Saturday,11,March,Rain,53,42,Las Vegas,Nevada,USA,Las Vegas,Nevada,USA,Las Vegas,Nevada,USA,09:00,01:00,7,0,100,Good,Good,FALSE,Long Sleeve,Seafoam Green,Blue,Columbia,,Green,Sweatpants,Black,Green,Adidas,Lego,Black,Sneakers,Black,Green,Adidas,,Black,Red,White,Boxers,Red,Dark Green,Red,Roots,Bears,Green,Glasses,Green,TRUE,Green,,Trucker Hat,Omega Mart,,Green,FALSE,,,,,,TRUE,Hunter Green,,Winter Jacket,Costco,,Green,2,,Santa Fe Skillet w/ Pancake,Chicken Nuggets,Popcorn,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Polaris Street Cafe,Shake Shack,Basketball Arena,,10,7,8,,"Peppers, Onion","Chicken, Chorizo",,One of the best restaurants in the Las Vegas area easily. The outside looks like a gas station but don't let looks fool you. The inside is very modern and vibrant. The service was great and the food was stellar. I got the Sante Fe skillet with a side of pancakes and it was the best brunch that I had all year. I cannot recommend going to the place more. The sante fe skillet was spicy and the chorizo and betters were excellent. The pancake was also perfectly fluffy and the syrup complimented the pancake very well. I love this place so much,The chicken nugget were surprisingly good. I didn't know shake shack could do a chicken nugget,St. Patrick's Day donuts. The shooting shamrock and the rainbow one were very delicious,,,,,,,0,FALSE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,,,TRUE,FALSE,FALSE,"Sam, Scialabba, Jackson",,,,,,TRUE,TRUE,2,4,FALSE,,TRUE,3,"Tangerine White Claw, Tequila, Tequila"
2024-03-17,Sunday,12,March,Sunny,60,47,Las Vegas,Nevada,USA,Alburquerque,New Mexico,USA,"Las Vegas, Alburquerque","Nevada, New Mexico",USA,09:00,00:00,8,0,100,Good,Good,FALSE,Long Sleeve,Kelly Green,Yellow,,Power Rangers,Green,Joggers,Forest Green,,American Eagle,,Green,Sneakers,Black,Green,Adidas,,Black,Green,Blue,Boxers,Green,Green,,Nike,NBA,Green,Glasses,Green,TRUE,Green,,Trucker Hat,Omega Mart,,Green,FALSE,,,,,,TRUE,Forest Green,,Hoodie,H&M,Fuzzy,Green,2,,Firecracker Chicken and Veggies,Birria Quesadillas,Donut,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Pick Up Stix,Federico's Mexican Food,Krispy Kreme,,8,8,10,"Tomato, Green Chile Pepper","Brocolli, Carrot","Beef, Chicken",,Mall food court chinese food,"This place was very good. I think it wouldve been better warm but the quesadilla was great, the sauces hit, the strawberry churro was really good, and the watermelon lemonade was great. Would recommend",The green original glazed donut was hilarious. Tasted like a regular glazed donut but made better because it was green.,,,TV,,,Spongebob,1,FALSE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,,Airplane,TRUE,FALSE,Lyft,"Sam, Scialabba, Jackson",,,,,,TRUE,TRUE,2,5,FALSE,,FALSE,0,
2024-03-18,Monday,12,March,Cloudy,59,37,Alburquerque,New Mexico,USA,Alburquerque,New Mexico,USA,Alburquerque,New Mexico,USA,06:00,00:00,6,1,100,Good,Good,FALSE,Long Sleeve,Seafoam Green,Blue,Columbia,,Green,Sweatpants,Black,Green,Adidas,Lego,Black,Sneakers,Black,Green,Adidas,,Black,Green,White,Boxers,Green,Green,,Nike,NBA,Green,Glasses,Green,TRUE,Forest Green,,Beanie,American Eagle,,Green,FALSE,,,,,,TRUE,Hunter Green,,Winter Jacket,Costco,,Green,2,,Green Chile Burger,Green Chile Salad,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Stackers Burger Co.,,,,10,7,,Green Chile Pepper,Lettuce,Beef,,Smash burger with fries. The fries were amazing and so was the smash burger. No one told me how much of a stanglehold hatch green chiles have over New Mexico but I kinda dig it.,Was in the mood for a salad after that burger,,,,YouTube,,,Guy vs. Pain,1,TRUE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,,,FALSE,FALSE,FALSE,,,,,"ScholarlySync, FSNB Chatbot,  AI-Images",python,TRUE,TRUE,2,2,FALSE,,FALSE,0,
2024-03-19,Tuesday,12,March,Cloudy,62,36,Alburquerque,New Mexico,USA,Alburquerque,New Mexico,USA,Alburquerque,New Mexico,USA,08:00,00:00,8,1,100,Good,Good,FALSE,T-Shirt,Cornflour Blue,Brown,Old Navy,Bears,Blue,Joggers,Forest Green,,American Eagle,,Green,Sneakers,Black,Green,Adidas,,Black,Green,Blue,Boxers,Green,Black,Green,Stance,,Black,Glasses,Green,TRUE,Jungle Green,,Cap,ABQ BioPark,Zoo Animals,Green,FALSE,,,,,,TRUE,Hunter Green,,Winter Jacket,Costco,,Green,2,,Green Chile Turkey Ham Sandwich w/ Green Chile Soup,Naruto Ramen,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Claudia Rae's Sandwich Shop,Naruto Ramen,,,10,9,,Green Chile Pepper,Pickle,"Turkey, Ham, Chicken",,This is in strong contention for the best meal of the trip along with the burger. The sandwich was really good but the soup sample pushed this to an automatic 10. I'm not a soup guy but the green chile soup went so hard for no reason. Absolutely recommend,Great ramen with spicy sauce. I can see why Naruto always get it when he goes to Ichiraku,,,,,,,,0,FALSE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,,,FALSE,FALSE,FALSE,,,,,"ScholarlySync, FSNB Chatbot,  AI-Images",python,TRUE,TRUE,2,3,FALSE,,FALSE,0,
2024-03-20,Wednesday,12,March,Sunny,65,34,Alburquerque,New Mexico,USA,Alburquerque,New Mexico,USA,"Santa Fe, Alburquerque",New Mexico,USA,07:30,11:00,7.5,1,100,Good,Good,FALSE,Button-Up Shirt,Viridian,Black,American Eagle,Palm Trees,Green,Joggers,Khakis,,American Eagle,,Brown,Sneakers,Black,Green,Adidas,,Black,Red,Blue,Boxers,Red,Jungle Green,Light Blue,Stance,Python,Green,Glasses,Green,TRUE,Green,,Trucker Hat,Omega Mart,,Green,TRUE,Seafoam Green,Blue,Columbia,,Green,FALSE,,,,,,,2,,Green Chile Pizza w/ Guava Empanadas a la Mode,Green Chile Chicken Sandwich w/ Brie Empanadas,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Golden Crown Panderia,High Noon Saloon,,,9,10,,"Green Chile Pepper, Tomato, Guava, Green Chile Pepper","Lettuce, Pickle, Onion","Chicken, Sausage",,They really put green chile in everything here. I respect the commitment. Great pizza and the empanadas al a mode were extremely good,One of the best chicken sandwiches I've ever had. Surprised it was grilled chicken too instead of breaded. The brie empanadas were also outstanding. I was shocked at how good they were. High Noon Saloon has got it going on,,,,,,,,0,FALSE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,Golf,,TRUE,TRUE,Lyft,,,,,"ScholarlySync, AI-Images",python,TRUE,TRUE,2,3,FALSE,,FALSE,0,
2024-03-21,Thursday,12,March,Sunny,68,37,Alburquerque,New Mexico,USA,Alburquerque,New Mexico,USA,Alburquerque,New Mexico,USA,07:00,00:00,8,0,100,Good,Great,FALSE,Polo,Lime Green,Black,,,Green,Khakis,Emerald Green,,Polo,,Green,Sneakers,Black,Green,Adidas,,Black,Green,Black,Boxers,Green,Lime Green,Green,Stance,Golf,Green,Glasses,Green,TRUE,Forest Green,,Cap,H&M,,Green,FALSE,,,,,,TRUE,Hunter Green,,Winter Jacket,Costco,,Green,2,,Green Chile Enchalidas,Buffalo Shrimp Mac & Cheese,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Palacio Restaurant,MacSantaFe,,,7,10,,"Green Chile Pepper, Tomato","Lettuce, Onion","Shrimp, Chicken",,"Kinda disappointing, I think I had a better enchilada in Las Vegas",Unreal mac and cheese with great buffalo sauce. I'm also a sucker for shrimp,,,,,,,,0,TRUE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,Golf,,TRUE,TRUE,Lyft,,,,,,,TRUE,TRUE,1,3,FALSE,,FALSE,0,
2024-03-22,Friday,12,March,Sunny,70,38,Alburquerque,New Mexico,USA,Frisco,Colorado,USA,"Alburquerque, Denver, Frisco","New Mexico, Colorado",USA,07:00,03:30,7,1,100,Good,Good,FALSE,Long Sleeve,Seafoam Green,Blue,Columbia,,Green,Sweatpants,Black,Green,Adidas,Lego,Black,Sneakers,Black,Green,Adidas,,Black,Blue,Green,Boxers,Blue,Lime Green,Black,Stance,,Green,Glasses,Green,TRUE,Forest Green,,Beanie,American Eagle,,Green,FALSE,,,,,,FALSE,,,,,,,1,,Indian Taco,Spicy Chicken Salad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Indian Pueblo Kitchen,Qdoba,Voodoo Doughnuts,,9,8,10,"Tomato, Green Chile Pepper","Lettuce, Onion, Corn","Beef, Chicken",,This was much bigger than what I was expecting lolol but it was delicious. Would definitely come back for another taco,"For airport food, this went really hard",The best doughnuts in the country,,,YouTube,,,Pitou Analysis,1,FALSE,TRUE,Good,FALSE,FALSE,0,FALSE,0,Golf,Airplane,TRUE,TRUE,FALSE,,,,,"ScholarlySync, FSNB Chatbot,  AI-Images",python,TRUE,TRUE,1,2,FALSE,,FALSE,0,
2024-03-23,Saturday,12,March,Sunny,43,22,Frisco,Colorado,USA,Frisco,Colorado,USA,Frisco,Colorado,USA,07:00,00:00,3.5,1,100,Bad,Good,FALSE,Long Sleeve,Dark Green,,St. John's Bay,,Green,Swishy Sweatpants,Navy Blue,,Nike,,Blue,Sneakers,Black,Green,Adidas,,Black,Green,White,Boxers,Green,Green,White,NBA,,Green,Contacts,,TRUE,Forest Green,,Beanie,American Eagle,,Green,TRUE,Black,,UnderArmour,,Black,TRUE,Hunter Green,,Winter Jacket,Costco,,Green,3,Banana,,Chicken Soup w/ Potatoes,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,7,,8,,Banana,Potato,Chicken,It was a banana lol,,Liz and Jon(?) cooked for us. Was a great meal,,,,,,,,0,TRUE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,Ski,,TRUE,FALSE,FALSE,Deezy,,,,AI-Images,python,TRUE,TRUE,2,3,FALSE,,TRUE,4,"Fireball, Fireball, Peach Snow Melt, Passion Fruit Snow Melt"
2024-03-24,Sunday,13,March,Cloudy,35,19,Frisco,Colorado,USA,Frisco,Colorado,USA,Frisco,Colorado,USA,07:00,00:00,7,0,100,Bad,Good,FALSE,Long Sleeve,Dark Green,,St. John's Bay,,Green,Swishy Sweatpants,Navy Blue,,Nike,,Blue,Sneakers,Black,Green,Adidas,,Black,Neon Green,Black,Leggings,Green,Green,Red,Roots,Bears,Green,Contacts,,TRUE,Forest Green,,Beanie,American Eagle,,Green,TRUE,Black,,UnderArmour,,Black,TRUE,Hunter Green,,Winter Jacket,Costco,,Green,4,Banana,,"Tokyo Chicken, Burger Smash, and Chicken and Waffles Burritos",Gelato,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,First Chair,I Scream Gelato,,,7,8,Banana,"Lettuce, Onion","Chicken, Beef",It was a banana lol,,Really good burritos but nothing spectacular. I really enjoyed the chicken and waffle burrito,The donut flavor was really really good,,,,,,,0,FALSE,TRUE,Good,FALSE,FALSE,0,FALSE,0,Ski,,TRUE,FALSE,FALSE,Deezy,,,,AI-Images,python,TRUE,TRUE,2,4,FALSE,,TRUE,2,"Fireball, Fireball"
2024-03-25,Monday,13,March,Cloudy,23,12,Frisco,Colorado,USA,Frisco,Colorado,USA,Frisco,Colorado,USA,06:00,00:00,6,0,100,Good,Good,FALSE,Long Sleeve,Kelly Green,Yellow,,Power Rangers,Green,Swishy Sweatpants,Navy Blue,,Nike,,Blue,Sneakers,Black,Green,Adidas,,Black,Neon Green,Black,Leggings,Green,Green,Red,Roots,Bears,Green,Glasses,Green,TRUE,Forest Green,,Beanie,American Eagle,,Green,TRUE,Black,,UnderArmour,,Black,TRUE,Hunter Green,,Winter Jacket,Costco,,Green,5,Banana,,Assorted Meats Sausages,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Ein Prosit,,7,,10,,Banana,,"Rattlesnake, Elk, Venison, Buffalo, Boar, Veal, Pheasant",It was a banana lol,,"So many exotic meats, I was in heavan. I've always dreamed of eating rattlesnake and the dream came true today. Was not disappointed by the rattlensnake taste at all. My rankings for the sausages were rattlesnake, elk, buffalo, venison, pheasant, steigel, veal, and boar",,,,,,,,0,FALSE,TRUE,Freezing,FALSE,FALSE,0,FALSE,0,Ski,,TRUE,FALSE,FALSE,Deezy,,,,AI-Images,python,TRUE,TRUE,1,5,FALSE,,TRUE,5,"Fireball, Fireball, Fireball, Grapefruit Hops Snow Melt, Pear Truly"
2024-03-26,Tuesday,13,March,Cloudy,24,5,Frisco,Colorado,USA,Frisco,Colorado,USA,Frisco,Colorado,USA,07:00,01:00,7,1,100,Good,Good,FALSE,Long Sleeve,Dark Green,,St. John's Bay,,Green,Swishy Sweatpants,Navy Blue,,Nike,,Blue,Sneakers,Black,Green,Adidas,,Black,Neon Green,Black,Leggings,Green,Green,Red,Roots,Bears,Green,Contacts,,TRUE,Forest Green,,Beanie,American Eagle,,Green,TRUE,Black,,UnderArmour,,Black,TRUE,Blue,Green,Hoodie,Mario,Luigi,Blue,5,Banana,,Thai Chicken Pizza w/ Fries,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,North Face,,7,,9,,Banana,,Chicken,It was a banana lol,,Really good pizza and fries. Wings were also very good,,,,,,,,0,FALSE,TRUE,Cold,FALSE,FALSE,0,FALSE,0,Ski,,TRUE,FALSE,FALSE,Deezy,,,,AI-Images,python,TRUE,TRUE,1,4,FALSE,,TRUE,3,"Fireball, Artic Berry Truly, Pear Truly"
2024-03-27,Wednesday,13,March,Cloudy,52,38,Frisco,Colorado,USA,Salt Lake City,Utah,USA,"Frisco, Salt Lake City","Colorado, Utah",USA,06:00,00:00,5,0,100,Good,Good,FALSE,Long Sleeve,Dark Green,,St. John's Bay,,Green,Swishy Sweatpants,Navy Blue,,Nike,,Blue,Sneakers,Black,Green,Adidas,,Black,Neon Green,Black,Leggings,Green,Black,Green,Stance,,Black,Contacts,,TRUE,Forest Green,,Beanie,American Eagle,,Green,TRUE,Black,,UnderArmour,,Black,TRUE,,,,,,,1,,,Burger King Chicken Sandwich,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Diner,Burger King,,,10,8,,Blueberry,"Lettuce, Onion","Chicken, Eggs, Chorizo",,The best meal of the trip. The pancakes were perfect and had blueberries inside of them,People hate on burger king but they do good work with their chicken sandwich,,,,,,,,0,FALSE,TRUE,Cold,FALSE,FALSE,0,FALSE,0,Ski,Airplane,FALSE,FALSE,FALSE,"Deezy, Jackson, Brett",,,,,,TRUE,TRUE,1,3,FALSE,,TRUE,0,
2024-03-28,Thursday,13,March,Rain,54,37,Salt Lake City,Utah,USA,Salt Lake City,Utah,USA,Salt Lake City,Utah,USA,07:00,00:00,7,0,100,Good,Good,FALSE,Long Sleeve,Seafoam Green,Blue,Columbia,,Green,Swishy Sweatpants,Navy Blue,,Nike,,Blue,Sneakers,Black,Green,Adidas,,Black,Neon Green,Black,Leggings,Green,Green,Red,Roots,,Green,Contacts,,TRUE,Forest Green,,Beanie,American Eagle,,Green,TRUE,Black,,UnderArmour,,Black,TRUE,,,,,,,1,,,Pretty Bird Chicken Sandwich,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Pretty Bird,,,,8,,,,Chicken,,,Solid chicken sandwich. Definitely over hyped by Deezy,,,,,,,,0,FALSE,TRUE,Frigid,FALSE,FALSE,0,FALSE,0,Ski,,FALSE,FALSE,FALSE,"Deezy, Jackson, Brett",,,,,,TRUE,TRUE,1,3,FALSE,,FALSE,0,
2024-03-29,Friday,13,March,Cloudy,54,37,Salt Lake City,Utah,USA,Salt Lake City,Utah,USA,Salt Lake City,Utah,USA,07:30,00:00,7.5,0,100,Good,Good,FALSE,Long Sleeve,Seafoam Green,Blue,Columbia,,Green,Swishy Sweatpants,Navy Blue,,Nike,,Blue,Sneakers,Black,Green,Adidas,,Black,Neon Green,Black,Leggings,Green,Green,Red,Roots,,Green,Contacts,,TRUE,Forest Green,,Beanie,American Eagle,,Green,TRUE,Black,,UnderArmour,,Black,TRUE,,,,,,,1,,,Buffalo Avocado Burger,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,No Name Saloon,,,,7,,,,Buffalo,,,Buffalo burger was alright. Utah ain't known for its food,,,,,,,,0,FALSE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,Ski,,TRUE,TRUE,FALSE,"Deezy, Jackson, Brett",,,,,,TRUE,TRUE,1,4,FALSE,FIFA,TRUE,2,"Pineapple White Claw, Pineapple White Claw"
2024-03-30,Saturday,13,March,Cloudy,52,45,Salt Lake City,Utah,USA,Salt Lake City,Utah,USA,Salt Lake City,Utah,USA,10:00,00:00,10,0,100,Good,Good,FALSE,Long Sleeve,Dark Green,,St. John's Bay,,Green,Joggers,Forest Green,,American Eagle,,Green,Sneakers,Black,Green,Adidas,,Black,Red,White,Boxers,Red,Black,Lime Green,Stance,Space,Black,Glasses,Green,TRUE,Forest Green,,Beanie,American Eagle,,Green,FALSE,,,,,,TRUE,,,,,,,1,,Spicy Chicken Sandwich Deluxe,Tender Tacos,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Chick-fil-a,The Green Pig,,,10,7,,Pickle,"Lettuce, Onion",Chicken,,The best in the business,Tender tacos were pretty solid but you can't really go wrong with ,,,,,,,,0,FALSE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,,,FALSE,FALSE,FALSE,"Jackson, Brett",,,,,,TRUE,TRUE,2,5,FALSE,"Injustice, Mario Party",TRUE,2,"Shades Peach Cobbler, Green Pig IPA"
2024-03-31,Sunday,14,March,Cloudy,52,37,Salt Lake City,Utah,USA,Salt Lake City,Utah,USA,Salt Lake City,Utah,USA,10:00,00:00,10,0,100,Good,Good,FALSE,Button-Up Shirt,Hunter Green,Black,Macy's,Attack on Titan,Green,Joggers,Forest Green,,American Eagle,,Green,Sneakers,Black,Green,Adidas,,Black,Blue,White,Boxers,Blue,Lime Green,Black,Nike,,Green,Glasses,Green,TRUE,Forest Green,,Trucker Hat,Omega Mart,,Green,FALSE,,,,,,TRUE,,,,,,,1,,Hot and Orange Chicken Wings,The Hulk Pizza,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Wingstop,Slackwater,,,8,10,,Avocado,"Celery, Carrot",Chicken,,Wings and Basketball. An timeless combo,Fantastic pizza. I would never think that avocado on pizza would work but really anything can go on pizza and it'll be good. Truly a versatile food,,,,,,Basketball,,0,FALSE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,,,FALSE,FALSE,FALSE,"Jackson, Brett",,,,,,TRUE,TRUE,1,3,FALSE,FIFA,TRUE,2,"Shades Peach Cobbler, Sour Beer"
2024-04-01,Monday,14,April,Cloudy,47,34,Salt Lake City,Utah,USA,Queens,New York,USA,"Salt Lake City, Montpelier, Kemmerer, Queens","Utah, Wyoming, Idaho, New York",USA,08:00,00:00,8,0,29,Good,Good,FALSE,T-Shirt,Forest Green,White,Fossil Butte,Fossil Butte,Green,Joggers,Forest Green,,American Eagle,,Green,Sneakers,Black,Green,Adidas,,Black,Green,White,Boxers,Green,Lime Green,Black,Stance,Black Fire,Green,Glasses,Green,TRUE,Forest Green,,Trucker Hat,Omega Mart,,Green,FALSE,,,,,,TRUE,,,,,,,1,,Burger w/ Onion Rings,"Garlic Noodles, Sushi",,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Minnetonka Market and Cafe,Sapa,,,8,9,,Tomato,"Lettuce, Onion","Salmon, Beef",,"This was a good burger but if this is a 4.7 rating in Idaho, they dont have good food there",The garlic noodles were delicious and so was the sushi. A great way to say goodbye to Utah,,,,,,,,0,FALSE,TRUE,Good,FALSE,FALSE,0,FALSE,0,,Airplane,TRUE,TRUE,FALSE,"Jackson, Brett",,,,,,TRUE,TRUE,1,3,FALSE,,FALSE,0,
2024-04-02,Tuesday,14,April,Rain,48,40,Queens,New York,USA,Hoboken,New Jersey,USA,"Queens, Hoboken","New York, New Jersey",USA,05:30,01:00,5.5,3,34,Good,Good,FALSE,T-Shirt,Cornflour Blue,Magenta,Old Navy,Video Game,Blue,Joggers,Forest Green,,American Eagle,,Green,Boots,Brown,Green,Timberlands,,Brown,Green,Blue,Boxers,Green,Lime Green,Black,Stance,Black Fire,Green,Glasses,Green,FALSE,,,,,,,FALSE,,,,,,TRUE,,,,,,,1,,Shirmp Gyozas,Lamb Guacamole Salad,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,8,9,,"Avocado, Banana",Lettuce,"Shrimp, Lamb",,I need to cook something quick and these always deliver. Trader Joe's really has the best items,The guacamole I made was the best I've done yet,,,Hulu,Hulu,,Naruto Shippuden,Naruto Shippuden,2,TRUE,TRUE,Wet,FALSE,FALSE,0,FALSE,0,,"Airplane, Subway, Bus",TRUE,TRUE,FALSE,Jiwei,,,,"ScholarlySync, FSNB Chatbot,  AI-Images",python,TRUE,TRUE,1,3,TRUE,,FALSE,0,
2024-04-03,Wednesday,14,April,Rain,46,41,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,09:00,02:00,8,0,100,Good,Good,FALSE,T-Shirt,Lime Green,White,Vidyard,,Green,Sweatpants,Chartreuse,,Adidas,,Green,Sandals,Green,Orange,Adidas,,Green,Blue,Black,Boxers,Blue,,,,,,Glasses,Green,FALSE,,,,,,,FALSE,,,,,,TRUE,Forest Green,,Hoodie,Costco,,Green,2,,Shirmp Gyozas,Guacamole Salad,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,8,9,,"Mango, Banana, Avocado",Lettuce,Shrimp,,Good,Guacamole with chocolate pepper sauce goes crazy. This is my go-to guac recipe from now,,,Hulu,Hulu,,Naruto Shippuden,Naruto Shippuden,2,FALSE,FALSE,,FALSE,FALSE,0,FALSE,0,,,FALSE,FALSE,FALSE,Jiwei,,,,"ScholarlySync, FSNB Chatbot,  AI-Images",python,TRUE,TRUE,2,4,TRUE,,FALSE,0,
2024-04-04,Thursday,14,April,Cloudy,49,36,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,09:00,10:00,7,1,40,Good,Good,FALSE,T-Shirt,Emerald Green,Dark Green,,New Mexico,Green,Joggers,Olive Green,,American Eagle,,Green,Sandals,Green,Orange,Adidas,,Green,Blue,Black,Boxers,Blue,,,,,,Glasses,Green,FALSE,,,,,,,FALSE,,,,,,TRUE,Pistachio,,Hoodie,Costco,,Green,2,,Kimbap,Peanut Noodles and Rice Cakes,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,7,7,,"Mango, Banana, Avocado","Lettuce, Carrot",,,Inoffensive meal that is pretty good,The cheese on the peanut noodles/rice cakes really saved the dish,,,Hulu,Hulu,,Naruto Shippuden,Naruto Shippuden,2,FALSE,TRUE,Good,FALSE,FALSE,0,FALSE,0,,,FALSE,FALSE,FALSE,Jiwei,,,,"ScholarlySync, FSNB Chatbot",python,TRUE,TRUE,2,3,TRUE,,FALSE,0,
2024-04-05,Friday,14,April,Cloudy,48,37,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,"Hoboken, Manhattan","New Jersey, New York",USA,04:00,01:00,6,0,89,Good,Good,FALSE,Long Sleeve,Seafoam Green,Blue,Columbia,,Green,Joggers,Olive Green,,American Eagle,,Green,Slip-on Shoes,Matcha Green,,Moln,,Green,Green,Blue,Boxers,Green,Black,Lime Green,Stance,Space,Black,Glasses,Green,TRUE,Forest Green,,Trucker Hat,Omega Mart,,Green,FALSE,,,,,,TRUE,Pastel Green,,Hoodie,,,,,,Peanut Noodles and Rice Cakes,Combo Duck/Pork,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Dim Sum Sam,,,7,9,,Banana,Carrot,"Duck, Pork",,Cheese doing work,Dim Sum Sam always hits. So consistent,,,Hulu,ESPN+,,Naruto Shippuden,Iowa vs. UConn,1,FALSE,TRUE,Good,FALSE,FALSE,0,FALSE,0,Climbing,"Subway, Bus, Path",FALSE,FALSE,FALSE,"Jiwei, Jed, Weezy, Jordan",,Ashley,Ashley,"ScholarlySync, FSNB Chatbot",python,TRUE,TRUE,2,3,TRUE,Golf Simulator,TRUE,2,"Monster Seltzer, Monster Seltzer"
2024-04-06,Saturday,14,April,Cloudy,52,40,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,10:00,02:00,9,0,41,Good,Good,FALSE,Athletic Shirt,Black,White,Quincy,,Black,Khakis,Verdigris,,Blank,,Green,Golf Shoes,White,Forest Green,Malbon,,White,Green,White,Boxers,Green,Lime Green,Black,Nike,,Green,Glasses,Green,TRUE,Dark Blue,Forest Green,Cap,Hoboken Golf,,Blue,FALSE,,,,,,TRUE,Forest Green,Blue,Pullover,TJ Max,,Green,2,,Lamb Guacamole w/ Chips,Jalepeño Green Chile Turkey Soup,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,9,10,,Banana,"Carrot, Caulifour, Peas","Turkey, Lamb",,Genius idea putting the lamb into the guacamole with the chips,I wasn't aiming to make soup but I put too much Jalepeño sauce into the dish and it became very soupy. It was delicious tho. I think i've judged soups to harshly,,,Hulu,Hulu,,Naruto Shippuden,Naruto Shippuden,2,FALSE,TRUE,Good,FALSE,FALSE,0,FALSE,0,Golf,,TRUE,FALSE,Lyft,"Jiwei, Jed",,,Ashley,MylesAI,python,TRUE,TRUE,2,3,FALSE,,FALSE,0,
